CatgCode,CatgDesc,,
099,CELL,,
100,NESTLE VENDING,,
101,RICE,,
102,PULSES,,
103,FLOURS,,
104,SPICES,,
105,DRY FRUITS,,
106,SALT,,
107,SUGAR & SUGAR PRODUCTS,,
108,OILS/GHEE,,
201,SAVORITIES,,
202,BISCUITS,,
203,PICKLES,,
204,NOODLES & PASTA,,
205,SOUPS,,
206,BREAK FAST FOOD,,
207,SAUCES,,
208,JAM & SPREADS,,
209,BABY FOOD,,
210,CONFECTIONARY,,
211,INSTANT FOODS,,
212,CANNED FOODS,,
213,CUSTARD & JELLIES,,
214,MOUTH FRESHNER,,
301,AERATED DRINKS,,
302,CONCENTRATES,,
303,FRUIT DRINKS,,
304,MILK & MILK PRODUCTS,,
305,WATER & DERIVATIVES,,
306,TEA,,
307,COFFEE,,
308,HEALTH DRINKS,,
309,NON-AERATED DRINKS,,
401,FABRIC CARE,,
402,UTENSIL CLEANERS,,
403,HOME CLEANERS,,
404,INSECTICIDES/PESTICIDES,,
405,SHOE CARE,,
406,UTENCIL CARE,,
501,ORAL CARE,,
502,SHAVING NEEDS,,
503,PERFUMES AND TALCUMS,,
504,SANITARY NEEDS,,
505,BABY CARE,,
506,HAIR CARE,,
507,SKIN CARE,,
508,COLOUR COSMETICS,,
509,HEALTH & OTC,,
601,DAIRY PRODUCTS,,
602,FROZEN MEATS,,
603,FROZEN VEGETABLES,,
604,ICE CREAMS,,
605,BREAD AND EGGS,,
701,CLEANING TOOLS,,
702,PERFUMES & TALCUMS,,
703,KITCHEN WARE,,
704,PLASTIC WARE,,
705,GLASSWARE,,
706,COOKWARE,,
707,STEEL UTENSILS,,
708,COPPER UTENSILS,,
709,CUTLERY,,
710,STITCHING NEEDS,,
711,POOJA NEEDS,,
712,HOSIERY,,
713,ELECTRICAL GOODS & ACCESSORIES,,
714,ELECTRICAL APPLIANCES,,
715,STATIONARY,,
716,PERSONAL GROOMING,,
717,GENERAL ITEMS,,
718,HOUSEHOLD GOODS,,
719,PARTY NEEDS,,
720,HANGERS,,
721,CLOTH CARE,,
722,FOOT WEAR,,
723,MATS,,
724,BED LINEN,,
725,THERMOWARE,,
726,SPORTS GOODS,,
727,PAPER GOODS,,
728,LUGGAGE,,
729,MISC,,
730,KITCHEN APPLIANCES,,
731,FUNITURE,,
732,JEWELLERY,,
733,PET FOOD,,
734,BOOKS & MAGAZINES,,
741,MASALAS,,
742,INSTANT MIXES,,
801,INSENCE STICKS,,
802,AEROSOL,,
930,KIRANA,,
991,KIRANA (NON FOODS),,
992,PAPAD/FRYAMS,,
993,HYGINE,,
994,GRAINS,,
